,reviewId,content,score,sentiment
0,6cd07516-1a11-4eaa-bc70-c786a21ecf89,Improve accessibility,5,negative
1,11694237-4034-4848-be09-1e711c767eaa,I accidentally turned on TalkBack worst experience ever super frustrating hated wish I could delete it but once again more bloatware on our phones. Can't remove.. Stupid!,1,negative
2,363ca619-fc01-4a53-9db0-e43fc7161fef,"This update has a bug with the accessibility shortcut brightness control. When tapping turn up, it turns it all the way down and stops responding. Please fix this for android 11 M3.",2,negative
3,e97afa6c-3ab1-4273-abd0-6ba1e8713391,"Android Accessibility Suite is firnwhom to have access to what I've personally never found out exactly what this app does or whose has access to what. What is the purpose of this ""Suite""? From my personal experiences anything that has ""Suite"" written on it that has anything to do with electronics or programs, is an acronym for ""sweet"".",1,positive
4,7d09ea9f-fd90-4260-9a28-d3c284790d60,I like the accessibility especially whenever barely barely see,5,negative
5,9705ccf4-6242-42be-bac9-691233427607,Android Accessibility,5,positive
6,f1336ba2-acee-4c92-aec6-4737bfa4d331,Talkback helps me a lot. But I wish it would describe emodicons to me. it would help a lot.,4,positive
7,da925ba1-35a4-4803-9053-22af247d4a93,The worst experience in my life untill I finally managed to turn off the talkback. I don't know .how to erase this definitely frim my phone.,1,negative
8,3f3a7f44-c267-4cac-9bd2-2dfd30c426fa,This is usefule but can you add accessibility shortcut please on Android 8 and 9,5,positive
9,c7139b2e-13ab-45d4-a146-93995df7e686,Improve our Android accessibility topic app implementing.,3,positive
10,6427310e-60af-4783-b359-44b42cf0385f,TalkBack on pls,3,positive
11,4cbb7895-1bc1-4f83-884b-0336922d5cc5,It suckssss the worst app. Ever I experienced.Please TRUN OFF TALKBACK *ASAP* Please & Thank You.,1,positive
12,d24348ea-d262-4337-a7af-d92379648a6f,"The last couple of months, when I restart my phone, live caption turns on. At the same time, when I use certain apps, my phone locks and I have to force restart it, leading to the live caption problem. I disabled this app, but the problems are still there.",1,negative
13,f76c380c-b870-436e-9bb7-aa84a2e95f60,Best accessibility app ever!!,5,positive
14,3b783d91-94e3-42b2-b7ef-8591a0383b74,"Worst nightmare ever -- somehow got TalkBack launched on my OnePlus phone and suddenly the whole system was unusable. The talkback feature was talking my touches but would not allow scrolling--even in settings. Even the poweroff and restarts were taken over by this verbal unusable app. Finally found that to turn off Talkback, you hold both Vol buttons at the same time. Cannot disable or uninstall this Android Accessibility suite --But this is a total nightmare. AVOID EVER LAUNCHING THIS APP",1,negative
15,db06650d-152c-403b-aaa8-d3cbbee3cb34,Odia language Talk-to-text and Text-to-speech features not available please update,5,negative
16,2d9a19d7-8894-4488-9dc8-14e81db0632b,I didn't it. It should have accessibility features for security which should be very important. Navigation and learning with tutorials is good. But what's the point of have all this without knowing how to securely navigate it. #ANDROIDUSER🤘,1,positive
17,0f4e7d3e-f8aa-4979-a7b5-1faa55720e6b,Ok android accessibility,5,positive
18,8487221b-65b6-465a-8eb2-90df129afa56,Android Accessibility,5,positive
19,372e2f01-3af4-4b88-bd57-136e5827923f,My accessibility setting problem please my problem soft,1,positive
20,7955b69f-d84b-465d-980b-c68d52a7405b,Update Google talk back to have screen recognition like iPhone today you can be talk back for blind people using games on a game view,5,positive
21,600345ff-9085-4cd6-a7f1-aeb03ef3fa46,android accessibility suite na,5,positive
22,f7dd9ce5-111d-4e14-9ab8-6bc6163458ef,Hate the way the TalkBack feature took over my phone unprompted and began reading everything on and off screen whilst not allowing me to turn down the volume or click on anything in the middle of the night. I will not be using it again on this device. Not that I did before.,2,negative
23,1345f4e4-64c8-4737-b566-be4f0a74e279,TalkBack 13.1 • New gesture for typing • Spell check • Volume-control changes • Container navigation • Braille support in more languages • USB connection to braille displays Switch Access • Support for a new Switch Access app,5,negative
24,d826091c-51ae-42c5-b3ca-dcb833e04728,Wow very nice I am a blind person I am very satisfied for giving this application I am very happy and thanks to Google give this amazing,5,positive
25,a0ab83e9-9336-44ce-9927-bd7b0e756959,Accessibility crashed problem,1,negative
