,reviewId,content,score,sentiment
0,97e6d277-1eab-4ef4-ad30-206337efec13,This app sucks it traps me made me panic when i turn on talkback,1,negative
1,3aca677c-99a8-4135-b40f-22ae51b76bf7,"It only works once after you download it and for every consecutive use after you closed the app or used ""Stop listening"" command, it prompts the user to grant it 'accessibility' even if you have already enabled it. However, even if you enabled the accessibility option in the device settings, it wouldn't work. This app needs some serious rework and bug fixes for it to be viable.",1,negative
2,1cfdc532-91e7-45c2-9a2f-a936f34c09b1,"Problem is with MIUI . It disables it from Accessibility menu every now and then. so it shows "" not working"" . Left with No options other than uninstalling it .",1,negative
3,0cb0e685-6e3e-4e62-a72a-d8ff058f1643,It very nice and helpful application for all handicap person and busy kind of person,4,positive
4,af2be0e3-4c50-45f7-af48-768447f63f8d,"deaf microphone, very very bad",1,negative
5,869eae55-39b0-4ccb-afa1-eaa352959645,Worst experience while using this app. Talk back is worst feature. Accidently i activity talkback feature and i lost my control on mobile.,1,negative
6,3a8adde4-619a-4470-8637-32dcfb34b7b5,the accessibility is impressive its better than voice typing.good job google,5,positive
7,f180f923-6fd1-46b4-8b02-659aacaefc36,"I have a Google pixel so my experience with the features that were available worked well, but they really need to add the custom command feature that Apple has. My experience with apples accessibility is that it has those features but weaker AI voice detection and understanding, also speed, googles AI and voice detection is very well developed it's the features that are holding it back. If they add custom commands like Apple and flesh this out more I would use this and rate higher.",3,positive
8,eb967d63-5106-453a-940b-1917dec38461,It gives very nice accessibility.,5,positive
9,0d586daf-7a56-4ddc-918b-2b2f9928bfa9,optimize for better quality for speaking and reading for disabled people that can't read or comprehension issues it's dyslexia donations are going to be sent by contributor Jesse,5,positive
10,e0a00d13-ee2b-41a4-a1fe-407712f3164e,"Option Accessibility of this app is error mann, i tried many times its still say not working, i hate this. Even i uninstall and reinstall again still error",1,negative
11,6e339ad0-ee3d-4394-aadb-f7ca7dd8152f,Terrible android protection automatically turns off accessibility features to this app every time you quit.,1,negative
12,430fc942-7de4-47eb-88fc-a7c68fc298f5,How to remove the sign of accessible. Please help i want to remove..,1,negative
13,9e905b7a-13d0-43e0-bb7a-9b507f0ada8d,This app is good for blind man it's so good,5,positive
14,ba3d06b5-badd-4771-8e83-e26590117949,Good app but one problem is there that is ever time asking accessibility permission,5,positive
15,b4b280fb-7f04-4868-b2ec-49aa3784dc24,"The app keeps asking me to turn accessibility on every single time I launch it. And whenever I close background apps, it shuts and refuses to work again until I delete app data and start the process over again. I still haven't tried it yet because it is not working. Please fix that :) I use Google Assistant all the time. So the issue is not in my voice commands or whatsoever.",1,negative
16,b694ad1e-1b97-4fbd-9e96-400a22eec79d,I have turned on it TalkBack function And after the I can iven use my phone And I can't even go back Because of this app I have reset my phone my all important data is now gone because of it,1,negative
17,c02cd8b0-a651-4474-a51e-b11b382b2f71,Helpful for non reder man blind man,5,positive
