,reviewId,content,score,sentiment
0,ce925616-75dd-4c65-93d1-1666926bd393,"Dear team ""https.goo.gle""What do you do with people's accounts that are created and logged into since clearly this looks like a fake version, I have been watching it evolve, the icons are blurry, the content is watered down, and the font and contrast is at a frequency or style that the eyes can not adjust to. Wish I had better Google back, not the beta one.",1,negative
1,2eedc42f-c4b0-4f94-8d22-5cb18997c2f5,"All good mostly. But please, add gesture for forward navigation. I really miss this feature.",4,positive
2,f0d56da1-16af-489d-a615-fdacf994c333,Private and Single use only one on one accessible to all sites with no intervention of system,5,negative
3,e0634126-5e9d-4cb2-b791-b3c6ae243d0a,It is inaccessible application for blind,1,positive
4,556088d5-686f-4a97-9903-5729c63309f7,"You're advertising greed plus corporate kill all to win at a game of no-win scenario your algorithm makes Google a hated sellout changing a company into a corporation conglomerat Search with Google when they first started,""will change the world"" 10yrs and.Everybody knows the poor the elders suffer from corporate blind greed. Psycho a person has rights. Corporats are psychos not a person How many Corps are helping with the deficit. USA Incorporated. Paid but not punished. Fine=0 nothing learned",3,negative
5,2f5c137c-84e3-403d-898a-4f3d8110d4dd,"Lastest update has removed the ""text scaling"" feature from the accessibility settings. The only way to make the font larger is to increase the zoom on the entire page. I don't know why they would remove changing the font size, but it's either moved somewhere can't find it or you have to zoom in now.",1,negative
6,6e2a3c4f-37f1-4566-b663-644f084945ee,I have been using Chrome for years. The latest update has taken away the feature to change the text size it used to be called text scaling in accessibility settings as I like to have bigger text than the default settings. There is still zoom but that is not the same as changing the text size. Very annoying to have to keep changing the zoom when I could just change the text size like I used to be able to,1,negative
7,5f230adf-1ab2-4d24-a9a4-1a5d037a5825,"Updates to the open tabs navigation are progressively worse with each iteration. I imagine most users would revert to the older, more intuitive tab navigation types. Illogical updates from user perspective! Edit: Strangely, the functionality returned almost immediately after this review (?). Unfortunately, it has now reverted to a list format. Time to move find alternatives where possible.",1,negative
8,4acb8727-2964-4fa8-a29c-82a4fb1ed5e0,swipe gesture and grid layout stopped working,2,positive
9,295f1308-b090-4b4a-ba08-44d1a8eb8022,"Awful experience with the group tab system, I tried for so long to get used to it but it only frustrates me, slows me down in my navigation. I even tried to disable this feature with the ""flags"" but it's still there. I had to disable Chrome and install Firefox. Who ever came up with this idea of tab group should be fired.",1,negative
10,df512db3-c71b-45a0-8637-c2160fa5f1de,"A great app with great navigation and user friendly. The areas I so much have faults and hope it would be fix soon is, it refuses to open some sites without a just cause (blocked) and sometimes become slow despite having stable network. I like the app in it's totality.",4,positive
11,7815e76e-4528-4390-ada7-4f4a9069cf32,"Idk why that ugly tab layout is set to default but to change it, go to accessibility, then turn off simplified view for open tabs to get the grid layout back. No more ugly layouts and an actual useful layout instead of a boring one...",4,negative
12,3e365270-8d59-4e2b-af59-4597150ba3ad,1. You need to offer a CUSTOM date range on the search. We need exact dates like on the desktop app. 2. The TEXT on every webpage is way TOO BIG. We need text less than HALF the size of the smallest available on Chrome. 3. Google doesn't have a true dark theme. On Mozilla and Samsung Internet you can make the background PITCH BLACK with high contrast text.,1,negative
13,fcc8259b-779f-4fef-b7dc-bdc96d44f788,"Swipe back gesture ANNOYING! On Android, I want to turn off the swipe from the side (back) gesture! But it seems we can't. I try to scroll right and wind up going back to a previous page! VERY ANNOYING! please allow us to turn it OFF!",4,negative
14,00187241-76f9-41a7-8f3c-8de93cd227e7,No caption,4,negative
15,bb656f1f-3e70-43dd-99b7-65a68f563ca1,"Can't display http pages from local network any more. Should be able to say which sites are allowed. Your Feb 13, 2023 broke this. And the all navigation is blocked. Blank page is shown that can't be closed, and there is no nav bar. You broke this BAD!",1,negative
16,3ad2199f-9be3-404c-ad8a-899c417da4cf,GPS lost issues found .always showing low accuracy mode calibration shown outdated map always change arrow pointing while driving vehicle blue line change his position always rotating show hence finding difficult to drive start navigation system take so much time to start navigation system,1,negative
17,38ddb043-ea5f-46eb-a927-182c9da77195,Hackers use this Marcia Randall Richard Anaya Sarah Garcia Becky Torres Cynthia syneros Karla beachum Romero villion Andre Erika Romero Gary and Sonya chindberg David Torres Devan are hacking thief's in Artesia NM they use this with Firefox and Rob u blind,1,negative
18,6d6cdb10-7906-47f2-b40b-514763098b17,"Change to the tab management was entirely unnecessary and has made navigation much more cumbersome, especially if you like to leave multiple tabs open so you can quickly swap between them. Give me back the list view.",1,negative
19,6d428098-1820-4ae0-ba6a-d311888bf058,"After updating to Android 13, long press on the back button no longer shows tab's browsing history, and there isn't a back button in the upper right menu's navigation, only forward... kind of a pain. :(",2,negative
20,88058a81-906b-44e3-af0b-dcad3779644d,Some apps interfer because of location Airport-blockers....am deaf so txt only....,4,positive
21,02b034c7-6841-4ff1-9582-3f265599f5fe,"horrible and bad experience to use.. had perfectly fill my disccussing on the page site, and when i try to move the page with gesture, BOOM, it caused to go back or forward of the page. and guess what? all my filling when to absolutely zero after go back on that page. WOW. what an absolutely disaster from this dev idea. what an excellent good job. from nothing happen, go in to disaster. thank you dev. thank for this ""IDEA"". → THANK YOU SO MUCH ←",1,positive
22,3a5b544a-f239-4192-8573-7ae15039bb4c,"when opening websites through chrome itself,the website is not even accessible,the touch doesn't work(nothings wrong with the screen, everything on chrome expect the websites display is frozen) I did get a fast response though",3,negative
23,58546a86-3f87-49ea-8127-9036f141643c,"Looses my opened tabs periodically and unexpected. Twice after open tabs list it shows me tabs list from the past, all of tabs already not wanted. Actual tab list after that not accessible and overwritten constantly. Some pages am cannot find anymore. On the computer I am expect same one time. So this is not related to the phone, it is some of basic shared modules...",1,negative
24,c66545c4-253a-49dd-8fcb-17baa8097999,"Fine apart from the annoying vibration when you click on a page tab with the mouse, selecting a tab with touch is fine.",4,negative
25,33936621-0c3f-45e6-8afd-b066fb8c6f74,Sight of our blind League A+,5,positive
