,reviewId,content,score,sentiment
0,676e18c8-90de-4034-a892-c16aab8b1b4f,"I love this app Even without data, it's accessible.",4,positive
1,facabd46-0d3f-45c5-ae22-29b926e1ce76,Very easy to navigate and accessible,5,positive
2,5591c7f1-e515-4774-af2d-371bb303e297,I want to appreciate your kind gesture keep up the good work,5,positive
3,48eca65e-3cac-4088-ba5d-b4d1f77be0b3,This app makes information easy accessible and also news around localandinternational,5,positive
4,1e0faf1a-5a0a-45b0-b8e8-17d5575ff8b0,It's very easy and simple and accessible,1,positive
5,2bf91ebc-dc10-4385-8654-80bebbfdc410,M RASHID DEAF Khan,1,positive
6,f4359e72-33a2-43fa-b846-9fd83115739f,"simply the best, user-friendly,straight foward navigation tool.",5,positive
7,7ba7fd66-db9f-47e6-8ed0-a968376a303f,Opera mini made internet easily accessible and fast,5,positive
8,d0e4473b-ad56-4481-8bd3-69f587334821,Accessible,4,negative
9,258fb9d2-dbcd-4a53-ab6f-3348aa5647a2,"Indeed its an excellent app. in term of internet accessibility, ads blocker and many more....",5,positive
10,01cb31e8-ea14-4b33-a78b-8b0387f2004c,Awesome. Very fast and accessible!👍,5,positive
11,18d42d6f-28fa-422d-9d23-a4e0626186df,Convenient & accessible,5,positive
12,6b7bdd57-74a0-4bf4-b2e7-483d94689420,"Please bring back the last video player from version 50, the current player isn't any better than the old one, it's laggy and doesn't have any gesture control for fast forward and rewind. Also, please remove the downloading icon animation, it's only make the webpage unresponsive and takes a couple seconds to disappear. Now it's getting worse with fullscreen ads, i can understand ad banners, but fullscreen ads? That's terrible",1,negative
13,a9582ff6-9050-4b78-831f-50e2e8ec2e6a,"Worst update! Everytime i open it, it freezes up and won't let me do anything. You keep updating it and still the same lag and some sites are not accessible! Been using this app for 7 years! Because of this, I'm uninstalling it.",1,negative
14,d630d98e-dcdd-4136-8943-3e70581ccc39,"Good for saving data and great for downloading videos. But No force enable zoom accessibility feature. Good ad blocker, however inserts its own ads sometimes.",4,positive
15,919e5a56-f18e-4cf1-8789-d2f7ac851d35,Please this app is banded and this 2 bed is accessible,1,positive
16,2ff0f436-ae2e-4bee-bdbf-332c182a48f2,Through making trade accessible and easy to everyone INGOT Brokers offers wide set of education material,5,negative
17,6c811ed7-f172-451d-8bfb-47dfa0adf773,Please what happened to Tubidy... It's no longer accessible,2,negative
18,d74e289b-1f9a-4c96-a286-5d178bede37b,"I love it, but it kinda prevents me from using navigation gestures because the toolbar is at the bottom. And on my samsung note, I can't redirect links to opera. But I think that's just samsung's fault.",5,positive
19,571e289d-fe98-4003-b82f-8447af44d294,Easy accessibility,5,positive
20,61345de7-9d0d-4594-b540-3e2c3216bffb,Chinese movies I downloaded with this opera mini never came with subtitles I hate this app,1,negative
21,3388c335-941e-4e1d-b77c-58e22aafa047,I love the current speed of accessibility.,5,positive
22,960dbfa8-f485-4601-8da7-49c11ebcbe3d,It's just simply accessible.,5,positive
23,08573060-2332-40a8-a8cf-2bef5d3584ac,It really disappointing that your download list is easily accessible with just swipe which often make it easy to delete file without asking question,2,positive
24,e23800a0-6e0d-4fe3-9cc0-6aa61d6d63ff,"Easly accessible, and user friendly.",4,positive
25,207e3f2e-408e-4cd4-b967-d6996ffc4122,Faster easier navigation tools. Huge storage space and room for improvement,5,negative
26,0e81fd39-038d-4b55-9e25-cd0ee1a2a004,"This app is super fast and pleasurable. It gives a feel that excites a true internet guru. Another unique thing about this app is that it gives you FREE 1.5gb monthly to navigate through the internet. What an appreciable gesture! But ads control is not very effective, else you deserve a five star all the way!",4,positive
27,f281e234-9946-45aa-8be1-d349c271c90f,"five for it is the best.Free data included, easily download mp4/3...PDF download easily accessible to social media for free",5,positive
28,ebc9df4b-84a8-467e-aa1d-a7b28ef2ed64,The app is absolutely fine in navigation,5,positive
29,4bf89dfe-da6b-4594-bf96-cecab45461c9,Easy and accessible,5,positive
30,e337cf94-6566-415e-9954-fc845920f1db,Exciting. Easily accessible. Has Exciting qoutations relevant to all situations,5,positive
31,dc18bc3e-0951-4a64-a5d8-9e096ffbd180,Faster reliable and easy accessibility,5,positive
32,b6822921-b649-4d68-b1c5-844a6f3a4dba,Just dope...accessible,4,positive
33,509da6ef-3478-41d2-bb2a-0395d9df9ed2,Easily accessible and reliable to use. Nice app and fastest in space.,5,positive
34,bd6f26af-11b8-4769-a0df-8cdcc5f370ca,Very Easy and Accessible.,5,positive
35,854e9158-ecf2-4c7b-9013-c72fccc89a2b,Convenient and easy accessible,5,positive
36,c4359319-caea-45cc-b906-dbafd2a8db3e,Emran deaf,2,positive
37,1c0bf2a9-2356-4d76-b145-db99e34f2c29,Amazingly great and easily accessible,5,positive
38,f2c1b3ce-afa5-4c80-9dda-bf245a07b105,Very accessible,4,positive
39,2c51aa97-092d-4b60-95e1-9cd41bcf95d5,This is the best app. Easy to be used and more accessible.,5,positive
40,383932bd-8567-4017-847c-1b26c21ca291,Its easy to use and accessible,5,positive
41,50b0caca-e579-4e62-87b4-6f506ad24b84,I am very interesting with this app bcoz of its accessibility to all updates.,5,positive
42,758e377c-eb7e-4309-8124-ecf9f7e510b0,Easy and accessible.,5,positive
43,b133e501-9327-4bb8-9167-543b8fd17667,Fast and easy accessible,5,positive
44,0d085078-ea85-4eaf-a95b-643910cb2277,please allow to save offline pages to accessible memory. I want to be able to transfer the files,5,negative
45,2e6f72c3-dbd6-4cf2-aeb3-1ab48c8e52ed,I love this app it does it all and very well I can't think of any ting more it needs the download speed is fast options are numerous navigation is exhalent the best I've ever used. Try it.,5,positive
46,501a6b0b-4031-4120-97cd-c85b995d1d2c,"This app is magnificent, in fact thanks to the app designers making all things easy, fast and accessible.",5,positive
47,c9f8babb-7d6d-4474-ad18-37146259eb11,No caption facebook just solowly.working,3,negative
48,b8191366-cf90-4d43-a452-25e17acd7c7e,"This app is very fast,unique and accessible.",1,positive
49,b9cba5e0-cda3-4c65-b14e-5eeb5d91a4d5,Good and accessible,4,positive
50,cf3775ea-d9d4-4baa-aaf7-488eae38e245,"OPERA, IS A GOOD INTERNET MOBILITY",5,positive
51,65f1e096-3d20-438a-843f-4b9b0aff61be,"If you are visually impaired person then this app is not for you , this app is unaccessible and requesting to developer to make this app accessible even for blind also",1,negative
52,1c876dc0-6182-4077-a2b0-05b65df96459,Too amazing with easy accessibility of windows,5,positive
53,15624864-90ae-493b-bcce-318bcd05c6e5,No caption,5,negative
54,4b90d5df-e46d-497e-b5ce-f5c323503658,Deaf,5,positive
55,edb0a3cb-9e39-4637-a40e-a72c61ece76d,"This app has smooth navigation, keep it up thanks",5,positive
56,e950f2dd-1648-4b7f-a6f2-ee4939643de7,Hi good tonight me deaf want game 🎮,5,positive
57,a54cd6a2-756f-4e85-abb1-b32d57d2fe19,"Good app, but please provide offline pages to an accessible location. And make option to save offline news individually, so favorite news do not be removed when refreshed.",3,negative
58,99bc0241-7a01-41d2-b6ba-433657de9e5d,"Thank you for a wonderful app Very accessible,easy to use . thanks",5,positive
59,b7dcfa9b-d405-4811-968a-fad0ac9f35f9,Excellent and smooth accessibility,1,positive
60,93b6d684-aa8f-45e1-8bb3-c4eade79a69e,The ads disability is very bad...,1,negative
61,fedd1de5-6dc8-48e9-bb92-87b407dea123,Always very easy and accessible I really like the app,5,positive
62,e3801bc2-89e0-448f-a348-169f1fd7c768,"Good,but only to android phone users.improve it so it can be easily accessible by all,",4,positive
63,1d7f72f6-3fbe-45c3-9eb2-f52c48b587c0,"My suggestion, keep the download speed meter on top while scrolling down download list. And remove the delete download file gesture an put the delete option in the three dots menu, because i sometime accidentaly delete the file when i tap the file (when i want to pause or continue) due to the slow response (not everybody who have good phone, fast internet and lucky luke/spiderman response). although there is undo button, it's sometime to late.",5,positive
64,1a6c8875-ff3d-4672-9c51-bb077aae1c4c,Lovely app and easily accessible,5,positive
65,d8e52d03-ba29-4438-825c-43c0531b5e00,Accessible always 😊,5,negative
66,eb9a1c24-5cf3-4793-81ac-7ad160ff0503,Very reliable easy accessible and good latest new features,5,positive
67,ed99c13e-6c5a-4c1d-b2eb-eb7ec507e30d,Blind app,5,positive
68,12aa9dd6-2c13-4ab6-9de6-67ba73ef3493,It's one of the best browsers but improve your downloading mobility and block the external links when downloading.,5,positive
69,f33a43b3-872a-417e-a7f5-8939490ab1f6,"This app is cool ,accessible and easy to use",4,positive
70,b3ad6229-2728-4cf9-a5cb-b94059ecaa50,Kudos to opera mini for this kind of gesture,1,positive
71,4f9293b3-7ff6-473d-859c-5b4f244eb511,active subtitles please,5,positive
72,8bd35ed1-c768-44d3-a61c-e053b2eda587,"Just too good if i should describe,the high accessibility,the video quality,the confortable interactive qualities...its simply the best.",5,positive
73,64b6acdd-7dd1-46e1-9021-d5f641d75939,Good. Love the add blocking feature. Quite accessible with screen reader Talkback as well.,5,positive
74,5d1cbf22-66e9-4fc7-9da3-5946245fb3ca,Accessible,3,negative
75,8607fee9-c489-46c0-aa8d-00df4db8dca9,Awesome experience but not accessible,4,positive
76,250add6b-c1e0-4e78-8e1c-02a0f609fbd0,Quick and accessible big up,5,positive
77,32f47551-9eda-467f-adc5-4ffcd1fc72b5,My only problem is obviously those very persistent adverts. Otherwise the app is easily accessible and fun to use,4,positive
78,d20528af-90e5-4b20-b8b9-904b28377ec8,"My favorite feature is syncing bookmarks and speed dial. It's working well. but there are some weird problems while browsing content like ad block became useless, some sites are not accessible. 🙁",3,negative
79,130f5b3e-da5f-4601-9374-056fd99e7eae,I gave full stars because of its fullscreen mode(hiding status and navigation bars) which many other browsers fail to do so.,5,negative
80,e5cfbc47-973b-4988-9845-f82ff45f9463,"rendering of the sites is now terrible some sites is no longer accessible, with this latest update 😑",1,negative
81,d5ef4d36-a929-4897-b0a3-afbba11ad222,Accessible.,5,negative
82,45ea5530-a586-46a7-b15b-b45d8e444534,Thanks for the good gesture.,5,positive
83,f83b969c-1921-4b2b-9758-96e78e8d430d,It's nice and everything is easily accessible.,5,positive
84,0ffddd1e-93e4-48c0-9d92-9c432c93e3da,"Facebook works no more properly after new update. Displays only gibberish. The same is true not only for many web forums, but also for normal websites: no more graphic interface, texts often overlayed, many contents not or only with great impediment accessible. Hotmail is no longer accessible at all. The browser has thus become useless for all practical purposes.",1,negative
85,154f047b-c773-42dc-88ef-10f44ded5651,Really Smooth Interface with clean buttons and functions for navigation! This browser is the best lite browser!,5,positive
86,fa4742cf-440f-4a99-981b-8fcc22cfcd97,Quickly and easily accessible,5,positive
87,1faa5d2d-bcea-4054-b2f0-ead676cdaf3f,"This new update is a disaster and I'm not sorry to 've said it. Older versions are far more better than this junk. Opera use to be one of the best If not the best really missed the Older versions. It's a pity and a disgrace to everything Opera mini stands for cos what's the essence of having an app that's useless in so many aspects? Downloading, navigation, speed and efficiency everything about update app is zero. I am really sorry in advance for any dude that would download this catastrophe!..",1,negative
88,191cacbf-554d-4b49-b5be-7446752c8049,After updating even if I have activated ads disability it's still showing. So frustrating this.,3,negative
