,reviewId,content,score,sentiment
0,b757c336-4edf-4679-9d5f-1858f0692809,App start with add one of the weakest add blocker have this aps Vpn connect with vibration it is can't silent it's very disturbing after update can't found the VPN function mabe you delete VPN from to your app,1,positive
1,cc118d1c-0650-4949-8016-722c81c527fd,Fast easy en accessible in browsing,5,positive
2,b57dd375-bc51-4888-99e1-8c8a7a77d95b,"Am a regular user if the app &I give a 4 star rating likewise It's a good app quite alright with a good interface and, easy navigation but please..I would love to share/posts my TikTok skits/videos on the app to get more views & followers if not create more publicity for myself as I get to view same of other content creators...kindly, assist me on how to go about it & thanks 👌...!*",4,positive
3,19d0c7ed-7f1c-447e-893e-c0ab11b6bc41,"Very reliable,,,downloads and stores data for you of which they are easily accessible and sharable...nice app to have",5,positive
4,759dd289-f381-4180-b2a9-d2dc6ea1c38c,"The website has a good speed, and navigation.",5,positive
5,73e59e04-35a9-4336-8340-ab4350090ef2,I love the phoenix browser app. It has many beautiful features and its accessible.,5,positive
6,1df6df3f-cd5e-4d18-8c4b-6dfb2c1465da,"good browser, fast download, can download media file from web. can you add gesture control for make browser more convenient?. thanks.",5,positive
7,ffbe81e1-1336-4cf5-8747-d46238b9f5c2,My Phoenix Browser has not been opening even after updating it. Kindly open it and make it accessible for me please.,1,negative
8,951fd066-dcef-4ca5-a17c-f79a9d5cca2d,It easy accessibility,4,positive
9,04bcb3e7-4a6c-4f6e-a495-70f621b45718,"This phoenix browser keep shutting off on me, once i open it, it shuts off and with a caption sorry! Phoenix has stopped unexpectedly and is problem is frequently. Pls why is it so?",1,negative
10,44308470-1f4c-462d-8420-3f2386c5b356,you people would have be the best if not for your caption that normally look sexual,4,positive
11,45aa64c7-a82b-47f0-96ad-0fe1aa6da8b6,"Very poor, not accessible",1,negative
12,bf1db9c1-2db3-4592-bbd2-db88befa3fdd,Fast and easily accessible browser,5,negative
