,reviewId,content,score,sentiment
0,e3c7d33a-456c-4f6b-99c1-3d6d5357d82b,"Samsung Internet Browser is a top-notch browser that provides a smooth and fast browsing experience. Its intuitive design, seamless navigation, and high-level security features make it a go-to option for users. With useful features like ad-blocking and web page optimization, Samsung Internet Browser stands out from the crowd.",5,positive
1,b2fb1d7a-dfe2-44d5-9a32-d7678c105afd,Good but have issues with subtitles for me or I guess more people,3,positive
2,ce500ad0-27a9-42ef-b351-efde8514b61c,"It used to be a decent browser, but the latest update ruined performance. Now there is a 5-10 second delay on any navigation, such as clicking a link or using the back button.",2,negative
3,620fa13d-f3b7-45c8-ad7a-8443d4cfeec2,Since last update (july 22) it opens random websites several times a day. The websites all look very similar. It seems like malware. They even open while doing something else. Yesterday it interrupted navigation while I was driving... This needs a fix ASAP. Till then 1 star. I'm on Galaxy S6 Edit: i did a factory reset without installing any additional apps. And it starting happening again. It's your update. 3d party apps are not causing this. Peel Remote is disabled. Will see what happens,4,negative
4,8ecd3a0a-0e36-4602-95a8-8038960649ef,"Surpringly good for a Samsung app. Good ad block extensions, nice navigation.",5,negative
5,db01d26f-7b03-4745-8676-c01784ebc49d,Very slow navigation.,1,negative
6,9368bb2a-5b51-42e4-8c99-e3ce9c6069ce,"Real (AMOLED) dark theme please. As ""it does it"" in high contrast mode, shouldn't be an issue...",4,negative
7,3b064a25-a6c4-488c-bdb1-a84bdf58bdc8,Easy app to use navigation's Easy,5,positive
8,e15cc5c0-9bf0-4faf-b678-085bc111501c,Suhel deaf,5,positive
9,72043521-af24-4587-8d71-6485bf00eda1,I only hive one problem with the main use I use the app for is the high contrast mode. Why the hell is the color invented and why do I have to go to setting to make the apps color more bright to say. It should already be bright and high contrast. There is no reason that I can see to invert the color when on. This is a hig thing for more. If not for you use it. At the end of the day I don't care what other do,2,negative
10,0b8572e1-6982-4be2-96fd-bd0b994916e9,"I have used this browser as my default for my last 2 phones. However, this latest update is frustrating; the default is dark mode but the high contrast seems to have no impact at all & there's no longer any history.",2,negative
11,a2f6a7d1-324f-46b3-bc1a-cc866d494597,This app is very good and accessible,3,positive
12,e0ece80c-1d50-434d-9d9f-82b203ba5965,Bro i can't turn off high contrast mode seriously,1,negative
13,929d7ed4-6eaa-48e1-8c90-78cfd1e0db75,App needs overall performance and animation improvements. Status bar needs to be transparent when the address bar is in the bottom. Navigation bar needs to be transparent in the tab switcher. Support Material You theming would make the app feel more in-line with the rest of the OS too.,3,negative
14,3a7ef850-b132-41a3-af59-074cbfbd1401,"The interface customisability is phenomenal. I would use it as my default browser, but the lack of integration with Android's password manager is a absolute deal breaker. I don't want to have to manually login in to every website all over again. Also, it would be nice to have a bit more animation in the UI, navigation is a bit jarring, e.g. when closing a tab.",4,negative
15,df67029d-d1ce-42d3-b771-fa95b1fe2f13,Back gesture closes the app.. you just cant go back the last page...,3,negative
16,4287aaca-bda5-498d-9af4-ddde9752538d,Menu icons are hard to read. Hope to bring better UI for allover accessibility of this awesome browser.,1,negative
17,ce129e65-ea5c-475a-ac01-156afa06797a,"Good browser so far! It has the best video player. But there's no caption option, so no closed caption. Please share how to make it work would be great.",4,positive
18,672b5e3c-a422-4e93-9a62-f5a4bdd3f2bf,junund out how to build accessible apps with real wond out how to build accessible apps with real world examples. Accessibility is the right thing to do and will help your app findrld examples. Accessibility is the right thing to do and will help your app findymub t,2,negative
19,482353b6-eed0-43a5-96ab-7514d37a4681,An excellent browser with 3rd adblock. I already used it instead of ucbrowser for several years. Now i am using a Xiaomi phone. This phone has an option to hide navigation button (but it requires immersive mode to hide). Samsung browser has no immersive mode in portrait mode. So please make an option for this case.,4,negative
20,cdf45318-ae99-4608-af7b-e954db5f8101,It is very important for navigation with,5,positive
21,8fcce28b-326a-45b3-869d-56edaa1557fc,It's a good and accessible application,5,positive
22,6dc38f68-ad93-4c8e-ab4b-2b027b656163,Excellent navigation,5,positive
23,2b921f61-f9b4-4fd3-b3a8-53f521eb588a,Please add subtitles support for samsung video player while using it in samsung internet app!,4,positive
24,a81960b0-318d-4988-bf34-ab8c6b049420,"Glitchy and way too many ads randomly popping up on that browser while I'm doing anything other than using the browser. While texting, calling, navigation, playing game apps, etc. I never willingly choose this browser for anything. I love my Samsung products. But, this browser is the pits.",1,negative
25,68d920b8-02fb-48b6-a1cb-90db361e03e2,"I love using the Samsung browser, very few issues, if any, easy to use and accessible to websites effortlessly! I just wish I could use it all across my tech devices.",5,positive
26,4d375e43-e1ff-42cf-88f4-be2de1618e28,Video mode should also show the subtitles.,1,negative
27,1099c29a-e15c-4175-ac5b-4d5a3047ce21,"When watching movies there are no subtitles, this is a huge issue if you watch Japanese shows that literally require subtitles to understand what's happening",1,negative
28,de1d4cfd-1e56-49a9-b3d5-b8ef5868cc73,Nice...smooth clean app...especially 👌 ✨️ 🙌 😍 👏 😎 👌 ✨️ 🙌 NAVIGATION...CLEAR...CONSISE...INTUITIVE WOW! NOW THAT IM USING this browser... THERE IS ABSOLUTELY 👎 WAY...I'D GO BACK. YA KNOW...TO THOSE BROWAERS BEING HELD TOGETHER BY BAND-AIDS...THEY ARE NO NAME BRANDS. GOT IT!,5,positive
29,588f3488-5af3-4602-9507-d94d4e8d482d,"My favorite app for browsing. Its Fast, Easy & accessible.",4,positive
30,2b385fa7-7062-4fea-bbc0-c08fd885e9d4,Super navigation!!!,5,positive
31,656d1c58-2faf-497e-8638-dc5bfc4c7bc9,"Best browser all around for android devices. Optimised, good feautures like ad blocking, easy navigation and a nice look.",5,positive
32,9125a8e9-6294-4737-8ff8-8e302df48e73,Not accessible to blind community,3,negative
33,3c46dc3e-237b-4036-b66d-0968e1f66e31,Bring back the magnifier window!,1,negative
34,89418f09-82c8-45bf-b023-2dfbd4afa744,Good gesture,5,positive
35,005f38e0-8875-476b-96ea-e902c5580168,"This app has everything I need! It's inclusive,, informative, fabulous 😁🙈🙊😁 I love Samsung Internet Browser more and more every time I use it 💗💗💗💗💗🙃🙉🙈🙊🙃and I still love it today 😀 ❤️ ✝️",5,positive
36,c3e5119a-1046-4914-a716-f00fc606c438,"Samsung makes high end TVs with micro dimming that enhances the black level uniformity on our TVs. I for example use the high contrast mode on my TV. Don't the developers think we deserve dark mode for Samsung internet on TV? This option is available for mobile devices why not on TVs?. The dirty screen effect on my TV and brightness glare, makes the default mode uncomfortable. Hope you integrate this feature into the web pages and all very soon. Thanks for your consideration",3,negative
37,10eaedfe-ff4c-4f10-b25a-f7ccc3d5d4c3,Good.... But you know when watching videos online especially movies using video assistant on it it not included the caption,3,positive
38,225e4b19-5602-4baf-976f-31e6a75256b2,Dark mode is very poor. The browser uses contrast for colors which is not appealing at all. FIX DARK MODE!!!! Excellent in everything else. N.B- for a sample of how dark mode should be see opera browser and uc browser,2,negative
39,d8a5f5b1-3625-4831-9003-feb3245bd773,I have been working since I was 14 years old I have learning Disability that's why I am like I am,5,positive
40,dc007836-5b9c-4473-9367-b17d69bbcdbb,Nice browser with exciting tabs navigation easiest and faster with less data consuming compared with others android browser,5,positive
41,65f0d52f-ebe3-4503-bf62-e5b9957b9d16,Keeps opening random pages about health care or investment opportunities ..it's the most annoying when I'm using my navigation or on a game ..,1,negative
42,c508e2d2-06d5-44f5-acff-28d6398b04ef,Its nice however the dark mode does not work well with other web pages like both caption and bground are black so its hard to read tho.,4,negative
43,94ca62f5-cbea-4664-b81e-a06508932f5f,Intermittent webpages navigation issues. It couls be webpage issue or browser issue.,1,negative
44,5a786a76-3a57-41b3-a570-da12068e75ca,If there's a dot next to the what's new don't let it update! Read what it says. Carefully. It's changing your defaults. Installing things you would not agree to for accessibility. But wording them in ways that sound good for you. TRY DISABLING OR UNINSTALLING. IF IT WON'T LET YOU YOU HAVE A SCAM APP NOW. EVENTUALLY ALL OF YOUR APPS WILL BE THIS WAY.,5,negative
45,94b5dccf-62ac-4575-b241-37daf614c726,"REMOVE THE STUPID VIDEO SUBTITLES, THERE ARE DEADLY ANNOYING.. THE DISABLE OPTION ISNT EVEN THERE/DOESNT WORK...",1,negative
46,f808a13f-4a1c-4add-919d-aeb655a7446b,"Active bugs list : 1) Many websites dont work, they work good on chrome.3) can't exit search ui and keyboard by clicking on free space in between page, have to press back button twice. 4) reload swipe gesture doesn't work 99% of the time. 5) YouTube comments not loading after latest update. All said, this is probably the best Android web browser.",1,negative
