,reviewId,content,score,sentiment
0,b08e2c08-f03d-4063-aac4-60fe05366227,This app demonstrates a few navigation functionality issues. Secondly my first posted rating and comment was physically deleted and removed. How's that for application transparency and awareness? Seemingly on the low end I'd say,1,negative
1,90a96210-a2b8-4b72-a220-d317d742f695,It has serious video player problems if i can't add subtitles in the video then what's the point of getting an extra video player otherwise it's not that bad,1,negative
2,b742cd6d-0a67-4af6-a1f8-3f4c39d7a133,How can I add subtitles?,5,positive
3,6c137717-0548-4306-ba2f-dfc22460a2c0,Super speed and easy navigation,5,positive
4,b542a8bc-b840-4aea-a960-d7672108c269,"Please add an option to manually restore the open tabs when it crashes because the one that pop-up when it crash is time limited & im blind relying only on the screen reader app TalkBack, or make it no time limit for the pop-up window, thank you very much",5,negative
5,e3a18ce8-9d4c-4695-a879-569774de343b,"The navigation bar (home, menu and back buttons) are covering the app control buttons when showing images and hence, I can't download images ☹️",1,negative
6,0b42d9df-bfd6-4944-87c1-6af050078822,RESOLUTION AND CAPTION. Can we have resolutions setting that works. I can change the resolutions from chrome Google but I can't on uc browser. Same with caption. Whether it be youtube or other other website. Can we change the videi UI to chrome and then can also be chnaged to UC. So we can have best of both world.,2,positive
7,67062b70-390a-4b3f-982a-e3b444ebd1f3,Please add the subtitles on video player,4,negative
8,10c7097a-701f-4133-bff8-8f72c912ac5f,In my opinion this is the best browser available. The loading speed is amazing. Videos load very fast and same is the case with downloading. But please add an subtitles option like some other browsers and a 10 second rewind or forward button as well.,4,positive
9,6ff68be7-b94f-49bd-9976-373251d3b965,I never thought id find the apps video player to be annoying..its overriding the subtitles please create an option to remove the auto video player to enable streaming sites its an inconvenience..,2,negative
10,c4c985b8-ed9c-405f-b0d4-cc969f38c573,"[EDIT] After quite a long time of use I'm starting to have problems with 1) Dark Mode Background has a poor contrast with Foreground, mixed with app's brightness is a pain. Too low makes the app unable to read, too high and your notification panel becomes a beacon. 2) The ""Block this Ad"" option doesn't work on Popup Video Ads, instead UC treats those Ads as videos and opens them on a docked player. Please add a ""Block Element"" option that works for all elements, ""Play in Player"", & remove Bright",4,negative
11,0bec342f-e6d7-480b-806d-2971d76a22e2,"I considered giving +1 star because videos load quite fast. But the ""Share Button"" overlaps with subtitles -1 star. Won't let me change the video quality always saying not available but there are -1 star. Ads that are shown requires me to play some stupid games then it automatically sends me to play store to download it, not possible to skip those -1 star. Despite video players having subtitles on those websites, uc browser's player does NOT include any saying ""no subtitles available -1 star.",1,negative
