,reviewId,content,score,sentiment
0,c0d745f4-a8d9-475f-bdd4-bec917feaa16,"Cinema movies, TV series; they're all available. You can watch them there and then (via wifi) or download and watch later when wifi is unavailable. If you 'quit' in the middle of a film, Prime Video will ask you to 'resume' where you left off bext time. Save your favourites to your 'watchlist' so you can't forget what you might like to watch in the future. Subtitles are available too. I'll never get bored with Prime Video. You can build your own personal video collection on your device.",5,negative
1,6442d6ba-9ee6-4a75-8d44-f5065d3c181c,"Glitch, Glitch and Glitch, Takes ages to load a video, extremely poor (pathetic) reverse forward controls, broken or no subtitles. Lame filters. Wana be netflix app but nothing like it. For God Sake put new content.",1,negative
2,6a01c941-dce6-4de2-ac87-61f5fc5062fb,"Bad quality despite setting at best, subtitle not working or no subtitles choices albeit the description say several subtitle available",1,negative
3,8ab73221-9098-41d3-b6c7-50d02a261274,THE SUBTITLES ARE SO BADLY DONE AND EVEN DISTORTING THE FILM. WHO IS RESPONSIBLE FOR THIS TOTAL FAILURE OF TRANSLATING. SUCH A SHAME FOR AN OTHERWISE VERY PLEASANT APPLICATION. .PRIME VIDEO WOULD BE AN EXCELLENT APPLICATION OTHERWISE,1,positive
4,b24737e0-7890-4f35-9a58-026fefb2f38a,"Excellent, great variety and accessibility",5,positive
5,3075eef9-e9a5-4eac-9dd8-5103d1ef444b,Ease of accessibility and movie suggestions.,5,positive
6,5950f985-c439-431a-9f79-6c6136cf7fae,"Very poor IT , no Arabic subtitles although it's available on TV app",1,positive
7,0c69dd2d-87b4-4a0b-9912-d26afae2a7c7,"It's not good. Navigation icons don't load on Android TV. Streams fail consistently, reboot is the only fix.",1,negative
8,cdc50016-4859-4314-a5c7-1bc16cd3f64c,"It's good, but a bit buggy. Subtitles don't always work, have to restart app almost every time i start watching for it to work, shows this annoying ""subtitles not available in your language"" message 99% of the time. A restart sorts that out, though. Also, does this annoying thing half the time where it won't play and throws this ""service currently unavailable "" error. Also, gotta restart a few times for that to go away.",3,negative
9,1590b30b-f8dd-4667-8a7b-8b5d78342aac,It's cool as cool and closed captioning great as well,5,positive
10,c91ce6a8-3ca5-49ab-a9fb-e69fb0d4e177,"Always way too dark on Prime Video, can hardly see the movie scenes sometimes because the screen is so dark. At least I can brighten up the movies on Netflix or I'd go blind watching everything on Prime.",2,negative
11,c7c43700-262a-4adf-bcc5-7f59c1a9e080,Subtitles sometimes don't show and downloads don't always play when using on my phone. Have restart the app to resolve,2,negative
12,21ee9d6f-2a30-4bb7-bbcd-b0db4e78ef73,"really weird bug, The control layer on top of the video being played keep disappearing. When starting the video the control to pause, play, forward, reverse, and change subtitles are there. But then after a few sec, it's gone, and I could not bring the control back no matter where I touch the screen. I need to close and restart the app to bring back the control, and then gone again. Very annoying bug. 😭",2,negative
13,91fe3de1-48eb-43cc-b18d-192b20455cf9,"Not a lot of free optionseven with prime subscription , and if you find something to watch almost all of the movies don't have subtitles... Horrible app, unstable and not that smart....",1,negative
14,13c66050-c4dc-4fab-84c9-0872fadc808a,"No subtitles, bad connection worst video clarity very dark on phone",1,negative
15,8c02215b-e4f0-4ccf-b182-9b625a58e782,The app is good. The subtitles problem of making the subtitles unavailable for some time is annoying me. I hope it could be improved or fixed soon,3,positive
16,89bb4a9e-78a0-4028-b285-37b249fde85f,Almost everything great about this app. Except the subtitles. In some of episodes I cant choose the language which I want. Because its unavailable. Please fixed up!,4,positive
17,2469ca08-a2f6-493a-98b9-7d337285a9c7,Crashes says videos are unavailable. Subtitles don't work most the time. Should be allot better im premium service,1,negative
18,66aa7507-6438-465e-a0de-8b3f62e74e54,"The closed caption appears over other captioned text on screen, paid content is mixed with included content, playback doesn't resume when you lock and unlock your screen, no separate brightness control, some content doesn't have multiple languages",3,negative
19,2883afd8-d9d2-4532-a872-c4db7c4c927e,"Good enough, sometimes glitch, downloads not always accessible without internet connection",3,positive
20,452bfa81-f077-4235-92e5-8e38351138ab,"It's a work n progress, IMO, that no one cares to work on. ALOT of the lifetime movies aren't available for viewing anymore its goes to FreeVee, which allows ads/commercial interruptions within the content n overall availability/updating doesn't change for the entire app. That's why I pay for apps to get away from constant interruptions!! Could use some better navigation options, like Hulu, where remove shows/movies, that u have no interest n watching. Not happy w it at all",1,negative
21,d2e236a6-02b4-43b0-94bd-188389c69c62,Does not work at all. I get to see black screen with subtitles..,1,negative
22,7aafab77-bcdc-471e-81b5-dca00c139f85,Videos are not playing pictures only subtitles,1,negative
23,f6f86123-6ab6-4ffe-8375-6e5baa37487a,Everything is good except that on T.V there is no Arabic subtitles!!!!!!!,5,negative
24,fb5fb8fc-5f27-4440-9a0d-5b4c013cd705,"Very bad movies and tv shows offered, too few or even incomplete, for example there is only 1 of 3 seasons tv show available in the app and also almost no local tv shows + poor subtitles and sometimes some languages ​​not in options",2,negative
25,957327eb-1600-4138-97b7-ea592afa40e5,Some movies don't have subtitles otherwise it's good! Cheap and has lots of nice series,4,positive
26,11f67b15-7550-4783-8bad-65314ed89e34,Good selection of movies and easy navigation can also play small screen so you can do other things.,4,positive
27,798d71f8-1d07-4646-8f67-74be5a12b8a4,Good content but the categorization and user navigation ease needs help big time. Really good stuff but it's all so hard to find you feel like giving up quickly.,3,positive
28,d3aab42d-6807-453b-a73d-d034b9e10ede,Not a lot of my l Preferred options but I love the accessibility,5,positive
29,ae32081e-0346-4404-b7d2-7a1e357856db,"The UI is very cumbersome compared to Netflix. Also there is no option to increase brightness on the app which is usually very bad, specifically while playing movies with dark scenes. Also to go full screen it is not gesture based but have to press options dots which is very funny indeed.",3,negative
30,25f1f291-4038-4775-86ae-3e9f87d11288,"Over-all pretty great... minor complaint about an aspect of the navigation: when I backpage , it brings me to the top of the previous page instead of where I left off. So I have to scroll down again , which may have taken a while the 1st time. As I said , minor issue, but, u know , 10 secs is an eternity in Virtchville.",4,positive
31,b0f93137-f675-4ffe-8816-1b872635f305,Subtitles aren't there when needed,3,positive
32,7c800438-7f75-4dbb-be40-615ff6732e10,"ITS ONE OF THE BEST I HAVE A BIG REQUEST PLESE.As long as i nned the language ,could you please help me in german languge the films to in audio ,subtitles . Thank you so much",5,positive
