,reviewId,content,score,sentiment
0,5e256a90-f855-47bb-98c5-ff6bab8fc723,"Since the last update, the casting barely works and the subtitles are acting strange in a bad way .",1,negative
1,a7baa598-fd25-453b-87cb-8a1447418940,"Free Movies and TV shows that stream for free, no warnings saying ""are you still there?"" You get to discover old and new titles that are well known or not so well known. The only thing I would work on is making sure if a film is of a foreign language, that the subtitles are good or get a dubbed version!",5,negative
2,4f377da3-ed17-48f9-8717-78de49d4eb49,"Enjoy every bit of it. I just wish that with the foreign movie, they can all be dub in English cause reading the subtitles takes away from the movie. But over all, I love it ❤️❤️💯",5,positive
3,60953b54-6997-4936-82b8-887857bdb016,no way to change the audio language or change the subtitles???,1,negative
4,3d4baba1-bac7-418f-afab-d2f6c700e637,This app Is at the top of my list for easy navigation. I appreciate the wide variety of movies and TV shows. Tubi does a great jobat rotating out old and putting new things to watch.,5,positive
5,df2089b8-7231-4d5a-8c6b-d36ff1d8474a,One thing is like to see us captioning in different languages.,5,positive
6,bc8b4ace-61f3-4089-a1e7-f693db5d46b0,"I wish you would actually have the English versions of some movies which on Google it says you do but most of the time you don't. One example is the Rec. Series of movies. I know there are English subtitles but its very confusing to watch, read, and listen at the same time. This is my only complaint. (I have a brain disorder that makes it impossible for me to learn any language it's not that I'm lazy I promise. I wish I knew Spanish/Japanese/Korean/etc.)",4,positive
7,c471e9ca-0ef0-4609-a8dc-06004996232a,"Amazing, has ads tho, still good, and very inclusive",5,positive
8,5953ba57-5681-4d05-b45f-bf6c7938fcac,"Favorite TV/Movie app... By far. It's where to go, to escape commercialized programming . For now, and there is still commercials but limitless access to worldwide entertainment. I prefer Asian Martial Arts, it's inclusive to the Arts. 🙏🌟💛",5,positive
9,3676195f-afe0-4638-b721-aa1acb1bf9d9,Very smooth video. Little adds. Subtitles. Wonderful choices,5,positive
10,30ebf42c-5c71-4258-ae61-09c7bd086ac5,"It's a very good app to watch all kinds of movies and series, there are very few commercials and that's ok. Most of the movies are good the only thing I would suggest for this app is that there should be more options to change the language and the subtitles that would be awsome.",5,positive
11,c241d48c-502c-43da-9115-2064164c9fa4,Good movies and easy navigation. Also some free for this economical time. Thank you Tubi,4,positive
12,1dacdd42-3278-474b-934c-b92b57569955,Great great navigation,5,positive
13,dfc8e4d1-d2f5-4dd4-b64e-fb7812465345,the cc is very good not much that i dont get out of it. im deaf and rely on cc for all tv,5,negative
14,6e047dab-a61a-4fd7-b692-df5536b5936c,What a stupendous app with a plethora of great entertainment that's sure to appeal to most audiences. The interface is very user friendly and accessibility is top tier. 🌟⭐🌠💫🌟🌠6 Stars,5,positive
