,reviewId,content,score,sentiment
0,043415c0-47a5-4800-a703-0019c02c87fe,Make the status bar and navigation bar transparent,1,positive
1,a03cddc8-89d3-4095-93b4-a9dece7a214e,"Shazam: Music Discovery is able to give me information on most music. It can be unsuccessful and fail to Shazam a song in a capacity that will give me a song in my library, and the fact is my phone (Galaxy S21 Ultra 5G) and Shazam lack the cooperation to accomish Shazam of song[s] I can hear through walls. Shazam does not give me the ability to look back at the location I was in when I Shazam. Failure to bring change where required is unacceptable. Music or vibration is vital to my health.",1,negative
2,d21ecc02-2912-4dd9-af78-4bba5fda65a1,reliable and easily accessible,4,positive
3,b3015d6b-5fc2-43f2-ba43-c5faf25051c9,"I go to search a FNF song that I find and it either responds with the wrong song or it says ""no results... Sorry we didn't quite catch that"" didn't catchthat?!? It must be deaf and needs to be fixed! I'm not 100% satisfied!",1,negative
4,06be5387-eb07-49a2-86fe-a7d79668f4e7,"Great accessibility and quick, accurate results.",5,positive
5,da8b62ff-67d9-475f-9971-572dd2427fb3,"the lyrics part of it all could be more accessible, i don't know...",4,negative
6,429c610a-9361-4454-a8e9-1dd254128a25,"I love this app, and especially the homescreen widget. It's simple, easy and quickly accessible when wanting to identify music. On a negative note, I would like to request that the widget go back to being the big round button. I dig the new colour, but the old widget looked so much better on a personalised homescreen. Now it's just another square box, and has no aesthetic value at all. It's plain and boring. Bring back the old widget, but keep the new colour. Thank you",5,negative
7,49eccd78-5a2e-4c27-a4c6-0eb93cca6c5b,"This app is deaf, what is the purpose of this app? Isn't it to recognize the song being played? But why is it deaf? Fix it.",1,negative
8,7288483e-7509-474b-8c45-67e5cf244c0c,This is reference to the performance because in my opinion the app works greatly. However I don't an apple music account or subscription. I have a Google music/YouTube music subscription which is accessible but not as convenient as the Apple music option I just wish the app was more convenient versatile to other music stream apps.,3,positive
9,b87ba782-82fa-457c-89ee-7a11dd70c273,"perfect app for what it is, extremely easily accessible and convenient as hell, a great app and highly recommend for music enjoyers",5,positive
10,a91d3046-24e0-4733-aec7-58c99688fa12,"Definitely a really handy app I think everyone could find useful although it does have its minor issues. If only I could delete shazams from the artist selection instead of just ""share"" and ""add to my library"" id give 5 stars cause that would make it 100x's easier to clean out my library. Please include the same options to be accessible through to the entire app. A deduplicator option would be absolutely awesome! Just let me delete from anywhere in app.",4,positive
11,5c82baec-2684-4a2b-b1fb-ac5e4ad954c9,"This app is really the best, every music going out there is accessible to download. I love the it so much.",5,positive
12,986d80ac-8048-4246-848a-a0e2a36fb424,"Shazam is a great app for discovering unknown and unfamiliar music from any source. This has been helpful for me, but it seems I can no longer use my cellular data to discover music. I have to connect to a WiFi network, which is not always available unlike the cellular data. Why not allow the use of cellular data, which makes the process accessible and effective?",4,negative
13,aa128490-9983-487b-91b9-be30d35e748a,"Worked fine until a few months ago. Now it doesn't recognise anything at all. I've tried uninstalling, reinstalling, logging out and back in, everything. It definitely has the right permissions on my phone. It listens, but is apparently completely deaf. Such a shame",1,negative
14,2e72b26d-ed54-445b-9d1e-70024a24fecd,"This app is only Apple friendly, as an Android user it sucks because your identity is locked in proprietary when you'd make more more being inclusive..Boo Shazam Fast forward to 2022 and Shazam has redeemed themselves and won me from 1 star to 5. Thanks from an Android ❤️ lover",5,negative
15,ccd8f162-196d-4ba6-b5c5-4bca0f32e54d,Not one song!! Not even a Beyonce title... Perhaps i got the deaf Shazam app cause I'd swear it wasn't even trying. Just vibes. Fite me,1,negative
