,reviewId,content,score,sentiment
0,0011cce8-5f69-40f5-81a5-9dc25f3b441f,It offers accessibility to a large songs discovery platform. It uses over 300 million tracks from 30 million musicians in 193 countries.,3,negative
1,df949592-c6b1-4102-8008-24b1bca9ed2c,"no option to cast to the TV,if there is I'm blind n can't figure it out..lol",3,negative
2,c1208fb7-f878-437a-883b-37b8d5e3681b,It rocks It gives me accessibility to music from worldwide in the hand of my hand.,4,positive
3,be212600-dd10-41bf-af8c-cc394eda00f9,Good app with lots of good stuff and ease in navigation.,5,positive
4,1f25471a-0d24-40a7-8723-389b3142d69c,Gesture controls on my phone will not work on this app (Huawei Mate 20 Pro) the most frustratingly bad UI I've ever tried to navigate,1,negative
5,89d5f9c5-8093-4f02-b1a1-5e401bf7e002,"I love this app more than any other music streaming app I have come across. One thing to make it better would be to add lyrics. (I have an auditory processing disorder, so subtitles help sooooo much, especially when listening to new music), but other than that, I absolutely love it.",5,positive
6,39a97115-49ea-4c7a-a7c5-87668c2b56bd,accessible to all,4,negative
7,983b42a9-7b83-4ebe-a82a-56df01f034d6,"Love the variety of music, and ease of navigation.",4,positive
8,51e7655f-c6f7-40a0-afcb-da8f70fed777,I give soundcloud over $20 each month to post my music on their site and have received zero cents for my work. By contrast I pay $20 a year to have my music on spotify and have made $2 in three months. Stop letting soundcloud sell your music while you get nothing from them. Boycott this service.,1,negative
9,aebb53f5-cca3-492e-9950-bd4269a97be8,"Love this app, but after this last update songs have randomly been skipping ahead mid song. i would have gone through a report process but your website doesn't seem to accommodate that, or is hidden and not easily accessible.",3,negative
10,e4f29551-f4dc-4cc9-a63a-066200abe4d8,it's not accessible for lots quantities,1,negative
11,4f6993ec-c603-4518-b13a-041713991dbc,"Download this app if you enjoy listening to ads on every song you listen to. Pfft Edit: I have now renamed soundcloud to scabcloud, when you were sitting at your bored room meeting who was the pimp that decided to add an ad on everyone song? Y'all ruined the vibration",1,positive
12,2dc78f2c-fa8f-4216-ad1b-577d7178a3a5,"I live and love this app. A full fledge musical freedom experience, soundly programmed to the tunes of an unintrusive user experience, that's a show of modesty other music-apps are blind to.",5,positive
13,68b8cb68-3ea5-4ff2-b729-17dda9195237,this app change my life. Music therapy for free with freedoms..I can do anything in my phone the same time have good vibration in background;),5,negative
