,reviewId,content,score,sentiment
0,bb22f8ec-46d2-441b-916c-2127e558032b,"Really for the amount I pay, this app is shamefully inefficient, playlist sync between my computer and my phone is totally haphazard. Being a classical music lover the information display for tracks is nearly always showing the least important details making navigation between various movements a frustratingly random leap in the dark. The developers of this software need to seriously consider the user-friendliness because, as it stands, this app is user-hostile and counter-intuitive.",1,negative
1,09fa4aa9-379e-47c7-a86d-439441741418,"With the latest update, interface became nicer overall, but functionality is still lagging behind. App crashes periodically, and it somehow became harder to use gesture like swipes to play next/add music/delete. If you add music to play next while a song is playing, with a chance of 50/50 it is going to skip those songs and play the previously set ""next song"". Quite sad that they don't test new updates for the app properly on Android devices.",3,negative
2,260aa39d-5b6f-4a10-84b2-dcbf1754715a,"My experience with Apple music has been awful. Terrible navigation, my playlists keep vanishing and everything Apple support tells me to do fails to work. I tried Apple music because it has more artists that I like available than Spotify, but I am going back to Spotify because Apple music is absolutely terrible.",1,negative
3,cf9f33d1-7cb7-4bdc-b622-c642ed4c39a4,"Can you at least make 2022 Recap be more accessible on the app itself, without the need to log in using an apple id? Itll be much more efficient and android friendly.",3,negative
4,c192f882-5b9b-4954-b739-faf4b014ddfa,Searching for music sucks and takes forever or doesn't load. Also search API is more stupid than giving a book to a blind person for Christmas.,1,negative
5,88b2d038-34b8-4585-9ca3-e97d9bde45c3,"Generally a good streaming platform, top notch. However; Some music is not accessible in my region. Cloud service is highly recommended to assist with storage. The infinite playlist touch you add is heaven.",4,positive
6,2d07edc8-5896-49a4-ac26-0270fc1f2315,1. Terrible and confusing UI and navigation 2. Continuos playing interruptions 3. Android Auto voice commands not working Definitely not recommended as an Android user,2,negative
7,85e544f5-5a46-48e2-9606-15c4b70566f4,"Using it for over 5 years for its great collection and quality. Still below average app, navigation across screen keep showing progress spinner forever on a phone where most apps run like a breeze and many more problems to bother on daily usage.",2,negative
8,302e85d0-467f-4554-b251-d1178a36a72c,"I love the selection but I'm dropping it due to Apple's navigation. The best Android apps rely on SIDE MENUS; not Apple's style of having buttons along the bottom row - which bring us to pages with buttons across the top of the screen, which then lead to pages with tile-layout icons, which have no reorganize-as-list option. I know this is Apple's design language, but it just requires MORE taps across FARTHER areas to navigate & search artists & songs. It's even worse on large-screen tablets.",2,negative
9,7fdc5a73-c80a-464e-b0f3-9fbd45237d04,Nearly went deaf. App has an extremely dangerous bug of full volume white noise which randomly comes on. People online have complained since a year ago including people who almost crashed theirs cars because they got a scary surprise. Sounds like a potential lawsuit. Screw Apple.,1,negative
