,reviewId,content,score,sentiment
0,23ed4a21-92b8-4200-b0c6-feb6464e91d9,I am deaf.,1,positive
1,0ad1e574-71b2-4e15-977d-b9964eedde07,"My alarm no longer works with Spotify. I'm using a Samsung Note 9 and the alarm that was pre-installed in the phone. After setting an alarm and pressing the Spotify option ""Wake up with your favorite songs"", the app tries to load Spotify and then locks up. I have a premium Spotify account. This bug has been around for a long time and it has fallen on ""deaf ears"".",3,negative
2,1929dc17-8fdd-41f6-b3bc-aab47bb7997e,Hate not having the option to put the player down with a gesture just like in any other music app ever (Android),4,negative
3,0e96b470-5632-41a4-ae12-f8e1847c6b14,Pretty much the best app ever made over all. Been a user for over 10 years and it's great to have so much music so easily accessible. I like the podcasts too,5,positive
4,7ff617d2-a2fe-4598-ab78-93c54f5febe8,"Eh. Very limited if you don't pay. Not very accessible if you want to listen to audio books, it shuffles them.",3,negative
5,3eb37aca-35a1-42a8-9449-edbe5bac0903,"Inconsistent. It is finicky while you're in the car. It's finicky with Bluetooth. Sometimes when I start the app my recent plays are gone, and my favorites are gone, and all it shows is suggestions. No i don't want to type my prefered Playlist or podcast in while I'm on my way to work. No I don't want to take time to waste it every morning when I pay money. Make it accessible and easy. Make it always show what it always shows. If it shows you one screen when you start the app it should always.",1,negative
6,f2f4d6e6-c25e-409f-a80b-14215bd3fc3e,Any song easily accessible,5,positive
7,f6f08e44-4586-4686-b96a-f0c8bc7d1c3c,Okay am I the only one who thinks it's absolutely Asinine that there is no Customer support From real spotify employees. I get it if it was a completely free app but i'm a Paying customer I am a premium member. Spotify stars is stupid they're just idiots like me. And it's a Simple problem too i'm sure I can't use voice to text search things and i've tried every solution you've suggested!? this is an accessibility issue!!!,1,negative
8,223d64a0-bd04-4073-8cd7-bd899e2d18dd,"Great songs, great accessibility",5,positive
9,7b1feaf5-b9dc-43ce-bdc0-3316150ae00f,"The app is extremely difficult to use and navigate. Unlike the web version, the application does not give you the organizing tools you need for playlists. On top of this, you're unable to choose what song you want to listen to when searching or a in playlist. At the very least, if such a thing is possible, they don't make it easy and accessible to do so.",1,negative
10,bb43017f-482e-45bc-8298-2bdb55e8fe1c,Very easy very good very accessible and I love all the music a lot of varieties and just a lot to do,5,positive
11,e0ecd0d7-f277-4d4b-b390-805052b17fe1,I'm deaf do not play music,3,negative
12,8530d780-3a0a-4c5f-8499-9855f24126d1,"EDIT: Former issue was fixed so removed that part of the review. Mostly good app!! When the app has an important notification about new features or updates, there is no way (as far as I can determine) to find those messages once you've cleared them. Might be good to make this information easily accessible your user base. Doesn't need to clog the stream, just something in settings or a tab that gives you improtant info.",4,negative
13,c2514829-3bc5-426e-a810-ceffb5f742d4,A large and accessible collection of music. I'm glad for the diversified stuff as it relates to my heritage. Kudos!,5,positive
