,reviewId,content,score,sentiment
0,475e3df4-53f3-4e5d-bc99-0847f7ea1ba2,"I have had an account for about 10 years. In the meantime, my registered emai is no more accessible. I tried to change like hundreds times but can't. The customer support is a bot and can't get to chat or talk with a person. Always just sent me to the Chang email form which is not working. Disappointed, as I loved this app and ordered a few hundred items already.",1,negative
1,32aa0a47-2bd6-47e1-b5db-7bdbb3891b8d,aliexpress judge is blind the sellee shipped wrong stuff and he admit it in chat. but open dispute and aliexpress judge my request as invalid and only refund me 0.5% price of the order. i will never use anything of alibaba again,1,negative
2,294a3a3b-a62b-442c-8410-2c4bdfb293a0,"I always have good experience with aliexpress.they improved a lot in conflict resolution between sellers and clients. Before, Aliexpress was less accessible in terms of claim. The app is easy to navigate.",5,negative
3,2c8d8114-acd5-4a00-9789-7df5f89e88bc,It is very addictive! It's a great app but it's not great for my wallet lol there's so much to look at and almost all of it is made affordable and accessible! I've ordered 3 or 4 separate transactions at various lengths of time and not only was it affordable but it is backed and as secure of a app to purchase from as Amazon shopping with reviews available from all over the world with optional pictures but you receive a tracking number immediately! You receive timely updates and coupons,5,positive
4,ab198812-cb72-44ea-80c6-88eb807b3233,Accessibility to various essential products and faster delivery through aliexpress standard courier.,5,positive
5,e407ad02-13ba-404a-a525-c3df378455fb,3 stars because of the shipment to me! Dont know what it is everywhere else. But shipped to me could use a better way! I think I could help that if the companies would reach out to me for bettering there mobility shipments! If they need a place for distribution it the heart land of America!,3,negative
6,86be3091-4145-4ceb-9124-3869052890c8,Smooth navigation,5,positive
7,fc051f21-dd1a-4639-9311-f2bcbad5327f,No trouble and simple enough navigation and selection of goods.,5,positive
8,46700155-f916-47dd-9c96-592d3d988dce,Needs more on product navigation it's a bit complex for anyone who has not done online purchase before,4,negative
9,5d61594b-7a1f-43ba-b0bf-3436a22c0ee6,"Nice shopping app but you could go blind with the tiny pics. Be careful who you buy from. Pay attention to the sellers rating and number of products sold, and you should be alright. Product descriptions can be misleading , so read the reviews..RESEARCH RESEARCH RESEARCH.",4,positive
10,64f701a2-3820-4c47-a1cc-cc3ec91a67a0,"great app, easy navigation.",5,positive
11,f52e185a-2ce9-477b-a534-ca3c2497e8e8,"App takes you down ""bunny trails"" all the time. Delayed navigation to check out. Constantly tries to sell more items.",3,negative
12,cc3a4806-d18a-47b5-a460-9e787ef49935,Ordering is smooth. Navigation is easy. Extremely satisfied with the app.,5,positive
13,763a26ac-dfa9-4b02-9876-c3e85f3f1e8f,Excellent and well accessible app,5,positive
14,2339962e-2440-4575-9b6a-0cc5393e8bd9,The presented information is well organized. The app works as expected. Navigation feels seamless. 👌🏾,5,positive
15,c11f11c7-2e1d-4187-8a27-35d2ee088d47,"I love that I can buy directly from the manufacturers in small quality. However, would be nice if alipay can be made super accessible to Nigerians. The dollar rate is outrageous",5,positive
16,6c8878ad-8db7-4406-bbd9-ad8e119962cb,Easier navigation of the store.,5,positive
17,e0cf7c53-4316-4652-acfa-a5a7c83bedc9,I love shopping on aliexpress. It's the best shopping app I have ever used. I only wish they could use one courier and make the live agents to chat to more accessible because going through the chatbot Eva is very annoying.,4,positive
18,efe701ba-fbab-4761-88bc-20c9bc47fb34,"navigation around is very good, app works well and is well designed",5,positive
19,54ebd05b-d297-4ed7-b69c-844fc381f5a2,It's great navigation is ok just needs small improvements to make it more simple to use!,4,positive
20,269a356b-cd73-4747-ae6e-1775316d05a9,Easy navigation through interface,4,negative
21,da62fdb0-e209-4c33-9a39-39dd4738ab96,"Why the hell won't you have a reachable number of the item carrier? I'm in the blind. My item is in my country region and it sat soo long there, nobody called. I don't know who to call. The seller can't do anything, the carriers number never connect. My item got stolen? Who the hell is gonna give me some answers???",1,negative
22,1be5a480-512c-46c1-9089-8e02a094d04b,"The app that provide the best shopping experience. Very reliable, seamless navigation and a whole lot of amazing products.",5,positive
23,ccb38bcc-9500-4507-a0ff-a08682cfd1b1,Great app. Good navigation. Quick purchase. 100% satisfaction.,5,positive
24,82d2a840-a2c3-42de-8a84-a6f0c277faef,"Stupendous site, easy, affordable and accessibility is fascinating. Tested and trusted.",5,positive
