,reviewId,content,score,sentiment
0,0839b680-7a1f-46bb-a558-e6aa1599337a,My account is not accessible,1,negative
1,d94b3321-0b99-4b18-b3da-8065c0955187,ama dictation pte reorder Tomar kache,5,positive
2,beca38df-3c99-4c71-9432-dcffb925b1c9,Too much continuous loading nowadays.. on every navigation. Keeps on buffering. Wherever page you go. it has become headache to use the app.,2,negative
3,37d40204-298c-45ca-a92d-0c4fbc3a5740,I have ordered a product on 8th Feb 2023 and delivery date was on 14th Feb as it was Valentine gift so I was okay with delivery date. But the product did not delivered on 14th till 8pm I called customer care and requested them to make the delivery by at least 10pm that day but they refused my request and put my call on hold. After minutes of frustration I disconnected the call. It was a worst ever gesture by any retailing site. The quality of product is also very poor.,1,negative
4,645d2c26-d9d3-423a-ac3d-ddee6223b1d4,"Flipkart app sucks😡 on using in gesture control mode in one UI of Samsung f22. Most times on swiping back either it hangs. Tough to reach home (no button).Tried reinstalling,updating. Have been facing this since months😬.Always have to close app and start fresh during shopping. Such a pathetic experience. No other apps has this issue. Amazon is buttery smooth.Frustated😡 with flipkart app experience so much that I think twice b4 opening Flipkart app for shopping.Didnt expected this from Flipkar",1,negative
5,18c3bfdb-396f-4f19-94ca-96337b201fe0,"Service and app interface is awesome but, not current day whenever i try to press back button then flipkart app is not working suddenly blind screen and not working",1,negative
6,6892041c-acec-441b-ae56-570ce22725cd,Don't Trust Flipkart Health Plus I had order 2 medicine from flipkart on 19th Oct. From them I received 1 medicine wrong and matching with prescription which I uploaded while ordering. Its my biggest mistake that kept blind trust on Flipkart Health Plus and not cross checked delivered medicines with doctor. Now after 3 months of course patient started hairfall and some other medical issues. Flipkart Health+ is not trust worthy platform for Health Department.,1,negative
7,b38e19e1-ecc0-44f3-b023-cc47b5b1deaa,Return service and delivery partners are worst amongst all the online platform for flipkart. Deleted my negative Remark also Delayed in pick up After 3 reminders. Service are getting worse Contrast Flipcard . Select dispatch wrong products under No return policy. Many bad experience flip card should surrender.,1,negative
8,1291f12b-684c-4ed2-9b33-dee29e9c509a,"Not load fast , Not user friendly UI as compare to previous version , difficulty in navigation , Api not working properly ,",1,negative
9,b467e283-e91f-4d9d-a495-03d4b9a39084,smooth navigation!!,5,positive
10,cd4b3fe2-cb3b-4119-946b-d0371a393061,"you have lost trust We as consumers are scared to purchase electronics, fashion due to duplicacy of the same Cloths fade out very soon What not where is flipkart quick? Not accessible in a very big city, i understand i can use blinkit, grofers, instamart so bye for that Where are medicines? All being out of stock Brand lost Suggestion: concentrate on one like say grocery provide all varities one day i get next time i won't, And you want to be in everything but its actually nothing 0",1,negative
11,26c41bd8-652e-4196-90bc-181aaba990d9,"Great GUI, makes it easy to browse through items. Display is good too, but there is scope to be better. One thing that can be improved is the keyword search outcome. It doesn't produce the right result always, e.g., search for Gold Jewellery, like gold chain, gold pendant, etc., should not through up Gold Plated Jewellery. Nonetheless, I feel, it is easy for the user's navigation (4 ⭐) and (until now) keeping the pages uncluttered (1 ⭐). Thank you 👍🏾",5,negative
12,4a24ba65-8722-4554-85b9-3e30f727a5d5,best watch for blind peple,4,positive
13,6938046c-4dd2-4391-9f5a-b84161821f53,very nice product... easy accessible network useful products at unbelievable rate good discount and gift points... very satisfying Flipkart app,5,positive
14,715a29db-da00-4dcb-a22f-3c8ce29659b6,"Amazon or any other e-commerce website will be much better than Flipkart. I uninstalled this app. If a customer is a plus member and regularly using Flipkart, even pays each paylater bill on time having more than 1000supercoins in account that sounds like a good customer but Flipkart is blind completely blind. Well Flipkart lost me 👍and many more good customers are on the way of uninstalling Flipkart forever. If I uninstalled Flipkart I will let others do the same.",1,negative
15,7e028a84-d36c-40bd-9258-da124e031b76,It is very useful and easily accessible to people,3,positive
